l3_id,stage2_card_count,share_of_all_assigned,new_stage2_count
RAI3-G-INT-10,228,0.146813,227
RAI3-G-SYS-08,146,0.094012,146
RAI3-G-SYS-03,104,0.066967,101
RAI3-G-INT-08,100,0.064392,94
RAI3-G-INT-06,81,0.052157,74
RAI3-G-INT-11,79,0.050869,77
RAI3-A-SYS-01,70,0.045074,70
RAI3-A-SYS-03,69,0.04443,69
RAI3-A-SYS-04,62,0.039923,62
RAI3-A-SYS-05,57,0.036703,57
RAI3-G-SYS-09,51,0.03284,50
RAI3-G-INT-09,47,0.030264,39
RAI3-P-SYS-02,45,0.028976,0
RAI3-G-SYS-07,39,0.025113,39
RAI3-A-SYS-06,34,0.021893,34
RAI3-G-INT-04,33,0.021249,31
RAI3-G-SYS-05,28,0.01803,27
RAI3-G-INT-02,26,0.016742,21
RAI3-P-SYS-01,22,0.014166,0
RAI3-G-SYS-01,20,0.012878,20
RAI3-A-SYS-02,19,0.012234,19
RAI3-G-INT-03,17,0.010947,16
RAI3-P-INT-01,17,0.010947,0
RAI3-G-INT-05,16,0.010303,16
RAI3-G-SYS-02,15,0.009659,15
RAI3-G-INT-01,14,0.009015,14
RAI3-G-INT-07,14,0.009015,14
RAI3-P-INT-07,13,0.008371,0
RAI3-P-SYS-05,13,0.008371,0
RAI3-P-SOC-06,12,0.007727,0
RAI3-P-INT-06,11,0.007083,0
RAI3-P-SYS-04,8,0.005151,0
RAI3-P-INT-05,5,0.00322,0
RAI3-P-SOC-01,5,0.00322,0
RAI3-P-INT-03,4,0.002576,0
RAI3-P-INT-04,4,0.002576,0
RAI3-P-INT-09,4,0.002576,0
RAI3-P-SOC-08,4,0.002576,0
RAI3-P-SOC-05,3,0.001932,0
RAI3-P-SYS-03,3,0.001932,0
RAI3-G-SYS-04,2,0.001288,2
RAI3-P-INT-10,2,0.001288,0
RAI3-P-INT-02,1,0.000644,0
RAI3-P-INT-08,1,0.000644,0
RAI3-P-SOC-02,1,0.000644,0
RAI3-P-SOC-03,1,0.000644,0
RAI3-P-SOC-04,1,0.000644,0
RAI3-P-SOC-07,1,0.000644,0
RAI3-P-SOC-09,1,0.000644,0
